image,method,angle,true_angle,error,status
t1\10_33.5.png,opencv,32.6660,33.5000,0.8340,ok
t1\1_71.1.png,opencv,67.4390,71.1000,3.6610,ok
t1\2_45.7.png,opencv,45.3978,45.7000,0.3022,ok
t1\3_25.2.png,opencv,23.5678,25.2000,1.6322,ok
t1\4_0.png,opencv,0.7460,0.0000,0.7460,ok
t1\5_71.7.png,opencv,71.0078,71.7000,0.6922,ok
t1\6_32.2.png,opencv,31.2168,32.2000,0.9832,ok
t1\7_41.2.png,opencv,39.9111,41.2000,1.2889,ok
t1\8_17.6.png,opencv,17.6916,17.6000,0.0916,ok
t1\9_52.3.png,opencv,50.7260,52.3000,1.5740,ok
t2\10_54.5.jpg,opencv,54.8931,54.5000,0.3931,ok
t2\11_49.3.jpg,opencv,49.3958,49.3000,0.0958,ok
t2\12_64.1.jpg,opencv,66.1127,64.1000,2.0127,ok
t2\13_58.7.jpg,opencv,60.3594,58.7000,1.6594,ok
t2\14_70.jpg,opencv,67.4979,70.0000,2.5021,ok
t2\15_27.3.jpg,opencv,30.1024,27.3000,2.8024,ok
t2\16_41.4.jpg,opencv,43.2462,41.4000,1.8462,ok
t2\17_49.3.jpg,opencv,49.6410,49.3000,0.3410,ok
t2\18_27.3.jpg,opencv,30.1170,27.3000,2.8170,ok
t2\19_66.5.jpg,opencv,68.6715,66.5000,2.1715,ok
t2\1_64.1.jpg,opencv,65.1254,64.1000,1.0254,ok
t2\20_27.7.jpg,opencv,26.0818,27.7000,1.6182,ok
t2\2_27.7.jpg,opencv,31.2472,27.7000,3.5472,ok
t2\3_11.6.jpg,opencv,13.9533,11.6000,2.3533,ok
t2\4_54.5.jpg,opencv,53.9540,54.5000,0.5460,ok
t2\5_41.4.jpg,opencv,43.8858,41.4000,2.4858,ok
t2\6_70.jpg,opencv,70.0135,70.0000,0.0135,ok
t2\7_66.5.jpg,opencv,69.8765,66.5000,3.3765,ok
t2\8_58.7.jpg,opencv,55.5770,58.7000,3.1230,ok
t2\9_11.6.jpg,opencv,13.4840,11.6000,1.8840,ok
t3\10_65.2.jpg,opencv,66.0711,65.2000,0.8711,ok
t3\11_50.4.jpg,opencv,50.4801,50.4000,0.0801,ok
t3\12_57.2.jpg,opencv,56.8633,57.2000,0.3367,ok
t3\13_52.2.jpg,opencv,52.5924,52.2000,0.3924,ok
t3\14_57.2.jpg,opencv,57.1965,57.2000,0.0035,ok
t3\15_56.5.jpg,opencv,55.4822,56.5000,1.0178,ok
t3\16_74.5.jpg,opencv,73.8631,74.5000,0.6369,ok
t3\17_60.jpg,opencv,58.6752,60.0000,1.3248,ok
t3\18_60.4.jpg,opencv,60.7212,60.4000,0.3212,ok
t3\19_69.5.jpg,opencv,69.4191,69.5000,0.0809,ok
t3\1_62.5.jpg,opencv,64.2909,62.5000,1.7909,ok
t3\20_52.2.jpg,opencv,56.9859,52.2000,4.7859,ok
t3\2_65.2.jpg,opencv,66.0023,65.2000,0.8023,ok
t3\3_56.5.jpg,opencv,55.5286,56.5000,0.9714,ok
t3\4_50.4.jpg,opencv,50.4662,50.4000,0.0662,ok
t3\5_60.jpg,opencv,59.1339,60.0000,0.8661,ok
t3\6_69.5.jpg,opencv,66.1114,69.5000,3.3886,ok
t3\7_60.4.jpg,opencv,60.7462,60.4000,0.3462,ok
t3\8_62.5.jpg,opencv,62.3972,62.5000,0.1028,ok
t3\9_74.5.jpg,opencv,69.6093,74.5000,4.8907,ok
t4\10_18.2.jpg,opencv,16.6145,18.2000,1.5855,ok
t4\11_16.9.jpg,opencv,18.8867,16.9000,1.9867,ok
t4\12_20.9.jpg,opencv,20.2821,20.9000,0.6179,ok
t4\13_19.8.jpg,opencv,19.2118,19.8000,0.5882,ok
t4\14_24.6.jpg,opencv,24.0336,24.6000,0.5664,ok
t4\15_12.7.jpg,opencv,13.1966,12.7000,0.4966,ok
t4\16_15.9.jpg,opencv,15.5695,15.9000,0.3305,ok
t4\17_16.9.jpg,opencv,18.7953,16.9000,1.8953,ok
t4\18_12.7.jpg,opencv,11.5290,12.7000,1.1710,ok
t4\19_22.3.jpg,opencv,21.1422,22.3000,1.1578,ok
t4\1_20.9.jpg,opencv,20.3781,20.9000,0.5219,ok
t4\20_14.jpg,opencv,14.3432,14.0000,0.3432,ok
t4\2_14.jpg,opencv,14.0549,14.0000,0.0549,ok
t4\3_10.1.jpg,opencv,10.7521,10.1000,0.6521,ok
t4\4_18.2.jpg,opencv,16.6738,18.2000,1.5262,ok
t4\5_15.9.jpg,opencv,14.7190,15.9000,1.1810,ok
t4\6_24.6.jpg,opencv,24.0354,24.6000,0.5646,ok
t4\7_22.3.jpg,opencv,21.1620,22.3000,1.1380,ok
t4\8_19.8.jpg,opencv,19.8031,19.8000,0.0031,ok
t4\9_10.1.jpg,opencv,10.6324,10.1000,0.5324,ok
